ds,after_mode,amount_final
2023/12/2,bike,15.85023313
2023/12/3,bike,16.17860335
2023/12/4,bike,16.96061378
2023/12/5,bike,16.35992373
2023/12/6,bike,17.04546876
2023/12/7,bike,16.3289684
2023/12/8,bike,14.2428488
2023/12/9,bike,14.12030022
2023/12/10,bike,13.99775164
2023/12/11,bike,13.7242247
2023/12/12,bike,14.46219972
2023/12/13,bike,13.33234288
2023/12/14,bike,13.3228164
2023/12/15,bike,13.54405704
2023/12/16,bike,13.76529767
2023/12/17,bike,14.81097576
2023/12/18,bike,19.34593922
2023/12/19,bike,18.12716139
2023/12/20,bike,16.29396547
2023/12/21,bike,16.73517332
2023/12/22,bike,16.22212348
2023/12/23,bike,15.70907364
2023/12/24,bike,15.63128329
2023/12/25,bike,16.71504536
2023/12/26,bike,17.79880743
2023/12/27,bike,20.0441219
2023/12/28,bike,18.58701255
2023/12/29,bike,20.08797147
2023/12/30,bike,20.21646951
